veiculos,coleta_ts
"{'codigo': '901008', 'placa': '', 'linha': '22', 'latitude': -22.915618, 'longitude': -43.361365, 'dataHora': 1747872534000, 'velocidade': 17, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 172443.8, 'direcao': 28, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901011', 'placa': 'RIV8A74', 'linha': '22', 'latitude': -23.000666, 'longitude': -43.36751, 'dataHora': 1747872458000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 185294, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901018', 'placa': '', 'linha': '22', 'latitude': -23.000418, 'longitude': -43.335606, 'dataHora': 1747872534000, 'velocidade': 20, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 154052.5, 'direcao': 286, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901012', 'placa': '', 'linha': '51', 'latitude': -22.964556, 'longitude': -43.392221, 'dataHora': 1747866672000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 153103.4, 'direcao': 344, 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901014', 'placa': '', 'linha': '22', 'latitude': -23.000098, 'longitude': -43.346764, 'dataHora': 1747872536000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 184511.3, 'direcao': 269, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901007', 'placa': '', 'linha': '22', 'latitude': -23.006758, 'longitude': -43.312537, 'dataHora': 1747872529000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 176293, 'direcao': 63, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901009', 'placa': '', 'linha': '22', 'latitude': -22.99988, 'longitude': -43.35759, 'dataHora': 1747872536000, 'velocidade': 59.9, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 139839.7, 'direcao': 271, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901013', 'placa': '', 'linha': '22', 'latitude': -23.000955, 'longitude': -43.365959, 'dataHora': 1747871826000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 176325.5, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901010', 'placa': 'RJM8G30', 'linha': '22', 'latitude': -23.003214, 'longitude': -43.324102, 'dataHora': 1747872539000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 189426.7, 'direcao': 291, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901015', 'placa': '', 'linha': '53', 'latitude': -22.895444, 'longitude': -43.399495, 'dataHora': 1747872527000, 'velocidade': 48.1, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '53 - SULACAP X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 190813.6, 'direcao': 162, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
