veiculos,coleta_ts
"{'codigo': '901008', 'placa': '', 'linha': '22', 'latitude': -23.006701, 'longitude': -43.312729, 'dataHora': 1749237770000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 176469.3, 'direcao': 123, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901011', 'placa': 'RIV8A74', 'linha': '35', 'latitude': -22.964607, 'longitude': -43.392259, 'dataHora': 1749235955000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 189767.3, 'direcao': ' ', 'ignicao': 0}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901018', 'placa': '', 'linha': '52', 'latitude': -22.886685, 'longitude': -43.400813, 'dataHora': 1749237760000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA]', 'hodometro': 157385.6, 'direcao': 1, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901012', 'placa': '', 'linha': '51', 'latitude': -23.000858, 'longitude': -43.430492, 'dataHora': 1749237766000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 155884.8, 'direcao': 48, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901014', 'placa': '', 'linha': '35', 'latitude': -22.878352, 'longitude': -43.336298, 'dataHora': 1749237766000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 189463.2, 'direcao': ' ', 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901007', 'placa': '', 'linha': '22', 'latitude': -23.000432, 'longitude': -43.335888, 'dataHora': 1749237759000, 'velocidade': 26.8, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 180527.6, 'direcao': 273, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901009', 'placa': '', 'linha': '52', 'latitude': -23.001315, 'longitude': -43.365481, 'dataHora': 1749237767000, 'velocidade': 21.8, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA]', 'hodometro': 144146.3, 'direcao': 83, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901013', 'placa': '', 'linha': '22', 'latitude': -23.003097, 'longitude': -43.324273, 'dataHora': 1749237762000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 180075.4, 'direcao': 304, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901010', 'placa': 'RJM8G30', 'linha': '22', 'latitude': -23.00021, 'longitude': -43.346269, 'dataHora': 1749237763000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 194042.3, 'direcao': 90, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901015', 'placa': '', 'linha': '35', 'latitude': -22.883453, 'longitude': -43.342502, 'dataHora': 1749237751000, 'velocidade': 33.7, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 195024.4, 'direcao': 198, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901047', 'placa': '', 'linha': '53', 'latitude': -22.980828, 'longitude': -43.365596, 'dataHora': 1749237771000, 'velocidade': 54.7, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA]', 'hodometro': 64529.5, 'direcao': 357, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901017', 'placa': '', 'linha': '22', 'latitude': -22.964732, 'longitude': -43.392053, 'dataHora': 1749237764000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 160479.8, 'direcao': 167, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901063', 'placa': '', 'linha': '41', 'latitude': -22.96324, 'longitude': -43.393803, 'dataHora': 1749237758000, 'velocidade': 19.6, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA]', 'hodometro': 251668.8, 'direcao': 218, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902319', 'placa': '', 'linha': '60', 'latitude': -22.849537, 'longitude': -43.398592, 'dataHora': 1749236517000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '60 - TERMINAL DEODORO X TIG (PARADOR) [IDA]', 'hodometro': 17204.7, 'direcao': 320, 'ignicao': 0}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901006', 'placa': 'RJA9F56', 'linha': '53', 'latitude': -22.999521, 'longitude': -43.368588, 'dataHora': 1749236924000, 'velocidade': 41.3, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA]', 'hodometro': 183220.9, 'direcao': 39, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901005', 'placa': 'RJB8E53', 'linha': '51', 'latitude': -23.008423, 'longitude': -43.440083, 'dataHora': 1749237766000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 226569.1, 'direcao': 72, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901004', 'placa': 'RJQ8J80', 'linha': '53', 'latitude': -23.001403, 'longitude': -43.367599, 'dataHora': 1749237591000, 'velocidade': 24, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA]', 'hodometro': 209579.4, 'direcao': 88, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902095', 'placa': '', 'linha': '41', 'latitude': -22.879033, 'longitude': -43.340876, 'dataHora': 1749237756000, 'velocidade': 28.9, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 103358.5, 'direcao': 78, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902375', 'placa': '', 'linha': '61', 'latitude': -22.899311, 'longitude': -43.211489, 'dataHora': 1749237711000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '61 - TIG  X  TERMINAL DEODORO (EXPRESSO) [VOLTA]', 'hodometro': 28680.6, 'direcao': 133, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
