veiculos,coleta_ts
"{'codigo': '901008', 'placa': '', 'linha': '22', 'latitude': -23.000472, 'longitude': -43.335463, 'dataHora': 1749232570000, 'velocidade': 11, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 176446.7, 'direcao': 275, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901011', 'placa': 'RIV8A74', 'linha': '35', 'latitude': -22.964607, 'longitude': -43.392259, 'dataHora': 1749232355000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 189767.3, 'direcao': ' ', 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901018', 'placa': '', 'linha': '52', 'latitude': -23.000919, 'longitude': -43.365081, 'dataHora': 1749232460000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA]', 'hodometro': 157365.9, 'direcao': ' ', 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901012', 'placa': '', 'linha': '51', 'latitude': -23.008466, 'longitude': -43.44017, 'dataHora': 1749231068000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 155882.8, 'direcao': ' ', 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901014', 'placa': '', 'linha': '53', 'latitude': -22.899376, 'longitude': -43.397658, 'dataHora': 1749232562000, 'velocidade': 59.3, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '53 - SULACAP X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 189426.3, 'direcao': 163, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901007', 'placa': '', 'linha': '22', 'latitude': -22.965554, 'longitude': -43.391537, 'dataHora': 1749230685000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 180511.2, 'direcao': ' ', 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901009', 'placa': '', 'linha': '22', 'latitude': -22.964556, 'longitude': -43.392006, 'dataHora': 1749231254000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 144139.1, 'direcao': ' ', 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901013', 'placa': '', 'linha': '22', 'latitude': -23.000181, 'longitude': -43.366865, 'dataHora': 1749232391000, 'velocidade': 20.2, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 180054.6, 'direcao': 220, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901010', 'placa': 'RJM8G30', 'linha': '50', 'latitude': -22.973169, 'longitude': -43.393786, 'dataHora': 1749232583000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '50 - JARDIM OCEÂNICO X  TERMINAL CENTRO OLIMPICO (PARADOR) [VOLTA]', 'hodometro': 194018.4, 'direcao': 263, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901015', 'placa': '', 'linha': '35', 'latitude': -22.970969, 'longitude': -43.388573, 'dataHora': 1749232571000, 'velocidade': 47.1, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 194997.2, 'direcao': 127, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901047', 'placa': '', 'linha': '53', 'latitude': -23.001313, 'longitude': -43.366399, 'dataHora': 1749232581000, 'velocidade': 0.1, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA]', 'hodometro': 64487.9, 'direcao': 85, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901017', 'placa': '', 'linha': '22', 'latitude': -22.964525, 'longitude': -43.392119, 'dataHora': 1749210763000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 160479.8, 'direcao': 337, 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901063', 'placa': '', 'linha': '41', 'latitude': -23.008531, 'longitude': -43.440474, 'dataHora': 1749232578000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 251636.4, 'direcao': ' ', 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '902319', 'placa': '', 'linha': '60', 'latitude': -22.849537, 'longitude': -43.398592, 'dataHora': 1749232480000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '60 - TERMINAL DEODORO X TIG (PARADOR) [IDA]', 'hodometro': 17204.7, 'direcao': 320, 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901006', 'placa': 'RJA9F56', 'linha': '53', 'latitude': -22.97322, 'longitude': -43.378489, 'dataHora': 1749232540000, 'velocidade': 49.8, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '53 - SULACAP X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 183185, 'direcao': 277, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
